,Rank,Channel Info,Influence Score,Followers,Avg. Likes,Posts,60-Day Eng Rate,New Post Avg. Likes,Total Likes,Country Or Region,Followers_1,Avg. Likes_1,Posts_1,New Post Avg. Likes_1,Total Likes_1
110,111,dovecameron,85,48.6m,1.6m,207,0.021,1.0m,327.2m,United States,48600000.0,1600000.0,6600.0,1000000.0,327200000.0
111,112,jokowi,85,48.5m,445.7k,3.7k,0.004,199.8k,1.6b,,48500000.0,445700.0,3700.0,199800.0,1600000000.0
112,113,haileybieber,85,48.3m,2.0m,2.1k,0.036,1.7m,4.2b,,48300000.0,2000000.0,2100.0,1700000.0,4200000000.0
113,114,nusr_et,81,48.2m,696.6k,2.4k,0.005,219.3k,1.6b,United Arab Emirates,48200000.0,696600.0,2400.0,219300.0,1600000000.0
114,115,garethbale,86,48.1m,758.3k,989,0.007,328.8k,750.0m,,48100000.0,758300.0,2400.0,328800.0,750000000.0
115,116,harrystyles,57,47.6m,4.7m,618,0.064,2.9m,2.9b,United States,47600000.0,4700000.0,2400.0,2900000.0,2900000000.0
116,117,vanessahudgens,84,47.4m,629.1k,4.2k,0.006,291.4k,2.7b,United States,47400000.0,629100.0,4200.0,291400.0,2700000000.0
117,118,larissamanoela,85,47.3m,575.0k,5.3k,0.005,252.5k,3.0b,Brazil,47300000.0,575000.0,5300.0,252500.0,3000000000.0
118,119,zayn,82,47.3m,4.7m,165,0.085,3.9m,783.5m,United States,47300000.0,4700000.0,5300.0,3900000.0,783500000.0
119,120,travisscott,78,46.5m,3.0m,3.2k,0.057,2.6m,9.6b,United States,46500000.0,3000000.0,3200.0,2600000.0,9600000000.0
120,121,stephencurry30,84,46.4m,1.1m,1.1k,0.011,511.4k,1.2b,,46400000.0,1100000.0,1100.0,511400.0,1200000000.0
121,122,5-Minute Crafts GIRLY,85,46.2m,155.4k,10.0k,0.001,60.4k,1.6b,United States,46200000.0,155400.0,10000.0,60400.0,1600000000.0
122,123,thenotoriousmma,82,46.2m,1.1m,3.2k,0.006,287.4k,3.5b,United States,46200000.0,1100000.0,3200.0,287400.0,3500000000.0
123,124,daddyyankee,80,46.1m,650.0k,35,0.008,346.9k,22.8m,Puerto Rico,46100000.0,650000.0,3200.0,346900.0,22800000.0
124,125,natgeotravel,82,45.8m,189.9k,16.9k,0.001,52.8k,3.2b,United States,45800000.0,189900.0,16900.0,52800.0,3200000000.0
125,126,vancityreynolds,86,45.6m,1.2m,695,0.028,1.3m,861.0m,,45600000.0,1200000.0,16900.0,1300000.0,861000000.0
126,127,nikefootball,85,45.4m,411.6k,1.8k,0.003,137.4k,756.6m,United States,45400000.0,411600.0,1800.0,137400.0,756600000.0
127,128,maisa,42,45.1m,550.6k,1.5k,0.005,217.2k,829.8m,Brazil,45100000.0,550600.0,1500.0,217200.0,829800000.0
128,129,jannatzubair29,84,44.6m,1.3m,1.7k,0.016,693.7k,2.2b,,44600000.0,1300000.0,1700.0,693700.0,2200000000.0
129,130,luissuarez9,85,44.4m,801.8k,992,0.01,414.8k,795.4m,,44400000.0,801800.0,1700.0,414800.0,795400000.0
130,131,varundvn,84,44.4m,1.1m,1.9k,0.013,586.2k,2.0b,India,44400000.0,1100000.0,1900.0,586200.0,2000000000.0
131,132,j.m,83,44.2m,14.4m,28,0.228,10.0m,402.1m,,44200000.0,14400000.0,1900.0,10000000.0,402100000.0
132,133,hrithikroshan,85,44.2m,1.6m,617,0.018,780.5k,958.9m,C̫te d'Ivoire,44200000.0,1600000.0,1900.0,780500.0,958900000.0
133,134,gusttavolima,76,44.1m,475.1k,4.9k,0.007,303.9k,2.3b,Brazil,44100000.0,475100.0,4900.0,303900.0,2300000000.0
134,135,theweeknd,83,43.8m,1.1m,735,0.04,1.6m,839.0m,,43800000.0,1100000.0,4900.0,1600000.0,839000000.0
135,136,nickyjampr,81,43.5m,379.1k,10.0k,0.003,129.1k,3.8b,Colombia,43500000.0,379100.0,10000.0,129100.0,3800000000.0
136,137,buzzfeedtasty,85,43.5m,63.5k,9.3k,0.001,23.6k,590.9m,Spain,43500000.0,63500.0,9300.0,23600.0,590900000.0
137,138,brunamarquezine,84,43.4m,943.5k,3.0k,0.009,363.1k,2.9b,United States,43400000.0,943500.0,3000.0,363100.0,2900000000.0
138,139,badbunnypr,83,43.4m,3.7m,20,0.131,5.5m,75.0m,,43400000.0,3700000.0,3000.0,5500000.0,75000000.0
139,140,kapilsharma,83,43.1m,736.3k,1.0k,0.015,625.4k,745.9m,,43100000.0,736300.0,1000.0,625400.0,745900000.0
140,141,caradelevingne,86,42.9m,790.7k,3.7k,0.008,362.2k,3.0b,United States,42900000.0,790700.0,3700.0,362200.0,3000000000.0
141,142,norafatehi,83,42.5m,1.4m,1.7k,0.018,727.5k,2.4b,Anguilla,42500000.0,1400000.0,1700.0,727500.0,2400000000.0
142,143,britneyspears,80,42.1m,511.2k,3.1k,0.007,285.9k,1.6b,Turkey,42100000.0,511200.0,3100.0,285900.0,1600000000.0
143,144,mariliamendoncacantora,73,41.8m,1.0m,1.5k,0.02,817.9k,1.5b,Brazil,41800000.0,1000000.0,1500.0,817900.0,1500000000.0
144,145,dior,85,41.8m,86.6k,9.9k,0.001,54.1k,854.9m,,41800000.0,86600.0,9900.0,54100.0,854900000.0
145,146,cznburak,80,41.4m,837.9k,1.8k,0.011,411.1k,1.5b,,41400000.0,837900.0,1800.0,411100.0,1500000000.0
146,147,ranveersingh,85,41.4m,986.9k,1.8k,0.016,641.0k,1.8b,Switzerland,41400000.0,986900.0,1800.0,641000.0,1800000000.0
147,148,marinaruybarbosa,81,41.1m,582.5k,2.1k,0.002,69.4k,1.2b,Brazil,41100000.0,582500.0,2100.0,69400.0,1200000000.0
148,149,jenniferaniston,85,40.8m,4.3m,104,0.024,949.1k,446.5m,,40800000.0,4300000.0,2100.0,949100.0,446500000.0
149,150,ruben_onsu,75,40.7m,135.8k,10.0k,0.001,35.9k,1.4b,Indonesia,40700000.0,135800.0,10000.0,35900.0,1400000000.0
150,151,liverpoolfc,75,40.6m,339.7k,9.9k,0.005,204.4k,3.4b,United Kingdom,40600000.0,339700.0,9900.0,204400.0,3400000000.0
151,152,teddysphotos,80,40.6m,710.7k,2.3k,0.005,185.5k,1.7b,United States,40600000.0,710700.0,2300.0,185500.0,1700000000.0
152,153,princessyahrini,81,40.5m,118.6k,4.5k,0.004,181.0k,535.5m,Indonesia,40500000.0,118600.0,4500.0,181000.0,535500000.0
153,154,andresiniesta8,85,40.3m,250.8k,2.0k,0.004,161.7k,508.8m,Spain,40300000.0,250800.0,2000.0,161700.0,508800000.0
154,155,addisonraee,85,39.8m,3.1m,328,0.022,851.5k,1.0b,,39800000.0,3100000.0,2000.0,851500.0,1000000000.0
155,156,natashawilona12,84,39.7m,483.6k,1.2k,0.005,175.3k,568.2m,,39700000.0,483600.0,1200.0,175300.0,568200000.0
156,157,mahi7781,58,39.5m,4.1m,107,0.002,0,444.0m,,39500000.0,4100000.0,1200.0,175300.0,444000000.0
157,158,chrissyteigen,79,39.4m,623.1k,5.1k,0.004,162.1k,3.2b,United States,39400000.0,623100.0,5100.0,162100.0,3200000000.0
158,159,worldstar,78,39.2m,157.4k,11.6k,0.002,84.4k,1.8b,United States,39200000.0,157400.0,11600.0,84400.0,1800000000.0
159,160,georginagio,74,39.2m,2.2m,751,0.086,3.3m,1.7b,,39200000.0,2200000.0,11600.0,3300000.0,1700000000.0
160,161,wizkhalifa,80,39.1m,398.7k,514,0.003,115.7k,204.9m,United States,39100000.0,398700.0,11600.0,115700.0,204900000.0
161,162,prattprattpratt,84,39.0m,813.5k,742,0.01,363.8k,603.6m,,39000000.0,813500.0,11600.0,363800.0,603600000.0
162,163,anushkasen0408,85,38.9m,687.3k,5.4k,0.013,483.8k,3.7b,,38900000.0,687300.0,5400.0,483800.0,3700000000.0
